"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state"
"2005",48.95,0.168549739960193,40.8,57.16,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","46 States"
"2005",42.94,0.171788860280006,34.96,51.31,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","46 States"
"2005",33.86,0.17245695824622,26.75,41.79,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","46 States"
"2005",10.2,0.167604565782175,7.56,13.62,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","46 States"
"2005",34.14,0.172815260932402,26.97,42.1,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","46 States"
"2005",28.58,0.174133483503302,22.15,36.02,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","46 States"
"2005",21.66,0.172762413244429,16.46,27.95,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","46 States"
"2005",16.15,0.167444610173933,12.18,21.1,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","46 States"
"2005",45.47,0.171680635143113,37.33,53.86,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","46 States"
"2005",39.78,0.173290844579523,31.99,48.13,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","46 States"
"2005",30.79,0.173234327482871,24.06,38.45,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","46 States"
"2007",8.35,0.0768457281846969,7.27,9.58,"White","Heterosexual","Male","White-Male","Heterosexual-Male","46 States"
"2007",31.74,0.151245236650694,25.69,38.48,"White","Bisexual","Male","White-Male","Bisexual-Male","46 States"
"2007",24.65,0.156936301872758,19.39,30.79,"White","Homosexual","Male","White-Male","Homosexual-Male","46 States"
"2007",19.76,0.155853112767625,15.36,25.05,"White","Othersexual","Male","White-Male","Othersexual-Male","46 States"
"2007",11.06,0.0697597427654506,9.79,12.48,"White","Heterosexual","Female","White-Female","Heterosexual-Female","46 States"
"2007",45.05,0.124497114890422,39.11,51.14,"White","Bisexual","Female","White-Female","Bisexual-Female","46 States"
"2007",35.9,0.154534507397522,29.26,43.12,"White","Homosexual","Female","White-Female","Homosexual-Female","46 States"
"2007",26.88,0.149628745906695,21.52,33.01,"White","Othersexual","Female","White-Female","Othersexual-Female","46 States"
"2007",7.11,0.155513926014698,5.34,9.4,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","46 States"
"2007",26.91,0.164814989350166,21.04,33.71,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","46 States"
"2007",21.75,0.165933568683495,16.73,27.79,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","46 States"
"2007",16.66,0.164407929135863,12.65,21.62,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","46 States"
"2007",11.43,0.151969444647941,8.74,14.8,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","46 States"
"2007",37.01,0.163117456775833,29.91,44.72,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","46 States"
"2007",31.28,0.166079799590619,24.74,38.66,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","46 States"
"2007",23.9,0.164626433103195,18.53,30.25,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","46 States"
"2007",7.21,0.127285734695345,5.71,9.06,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","46 States"
"2007",25.54,0.162115865536555,19.98,32.04,"Black","Bisexual","Male","Black-Male","Bisexual-Male","46 States"
"2007",21.55,0.16256969497284,16.65,27.41,"Black","Homosexual","Male","Black-Male","Homosexual-Male","46 States"
"2007",15.6,0.162743978554413,11.84,20.27,"Black","Othersexual","Male","Black-Male","Othersexual-Male","46 States"
"2007",10.22,0.119821216085762,8.26,12.59,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","46 States"
"2007",36.32,0.158086873243924,29.49,43.74,"Black","Bisexual","Female","Black-Female","Bisexual-Female","46 States"
"2007",30.21,0.161845436799078,23.96,37.28,"Black","Homosexual","Female","Black-Female","Homosexual-Female","46 States"
"2007",22.67,0.162281826160162,17.58,28.73,"Black","Othersexual","Female","Black-Female","Othersexual-Female","46 States"
"2007",8.22,0.127483874332393,6.52,10.31,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","46 States"
"2007",29.3,0.158020282294916,23.32,36.1,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","46 States"
"2007",24.96,0.159880515573598,19.56,31.27,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","46 States"
"2007",18.52,0.162568693585168,14.18,23.82,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","46 States"
"2007",14.26,0.112935554259935,11.76,17.19,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","46 States"
