"x","predicted","std.error","conf.low","conf.high","group","facet","panel"
"Pre-2020",0.41485744178242,0.0380138303081051,0.396893384535401,0.433050761250575,"Black","Bisexual","Female"
"Pre-2020",0.324924017468406,0.0696123333565454,0.295739033861401,0.355535136460558,"Black","Homosexual","Female"
"Pre-2020",0.286248271219689,0.0630667739586141,0.261674335023569,0.312154270075288,"Black","Othersexual","Female"
"Pre-2020",0.110142437917001,0.0204992710099137,0.106265808642139,0.114142427049736,"Hispanic","Heterosexual","Male"
"Pre-2020",0.401723780765475,0.059946645430609,0.373839286656549,0.430258993194743,"Hispanic","Bisexual","Male"
"Pre-2020",0.333466506442536,0.0663816501748777,0.305200663721725,0.362982543045651,"Hispanic","Homosexual","Male"
"Pre-2020",0.249934932682051,0.0606131885622214,0.228331063429708,0.272860101220964,"Hispanic","Othersexual","Male"
"Pre-2020",0.174995524454475,0.0173943471524426,0.170127953549669,0.179972160062047,"Hispanic","Heterosexual","Female"
"Pre-2020",0.44534868699754,0.0306973518820581,0.430540121282023,0.460254929542664,"Hispanic","Bisexual","Female"
"Pre-2020",0.407667567494295,0.0609406401215429,0.379173582170791,0.436796279979624,"Hispanic","Homosexual","Female"
"Pre-2020",0.334360086816879,0.0462817045675466,0.314483531724569,0.354842633036693,"Hispanic","Othersexual","Female"
"Pre-2020",0.126734055232545,0.0285278095284917,0.120674023964736,0.133052362540125,"MultiOtherRace","Heterosexual","Male"
"Pre-2020",0.448068683726217,0.0792915583321874,0.410019279483592,0.486735992682347,"MultiOtherRace","Bisexual","Male"
"Pre-2020",0.297227942523898,0.0959855655588644,0.259482208437858,0.337958526505007,"MultiOtherRace","Homosexual","Male"
"Pre-2020",0.248382573595433,0.0842751398874916,0.218840961799249,0.280480177754723,"MultiOtherRace","Othersexual","Male"
"Pre-2020",0.209836108230265,0.0245543222849353,0.201968039920447,0.217926989216368,"MultiOtherRace","Heterosexual","Female"
"Pre-2020",0.523231802434755,0.0416484360509452,0.502841152996511,0.543545303401256,"MultiOtherRace","Bisexual","Female"
"Pre-2020",0.452483396797958,0.0816877492755925,0.413201344729964,0.49236642571358,"MultiOtherRace","Homosexual","Female"
"Pre-2020",0.348647882532383,0.0664743562023144,0.319672939071744,0.378786863006489,"MultiOtherRace","Othersexual","Female"
"Post-2020",0.112995631563113,0.0202819885143921,0.109072261057675,0.117041587518053,"White","Heterosexual","Male"
"Post-2020",0.390555892332353,0.0501150564761707,0.367443527890421,0.414170164929948,"White","Bisexual","Male"
"Post-2020",0.368435349212146,0.0679213242098263,0.338036081876736,0.39991681825256,"White","Homosexual","Male"
"Post-2020",0.325927251655289,0.056157625063542,0.302223769966211,0.350555824936781,"White","Othersexual","Male"
"Post-2020",0.1764097471777,0.0193614505632276,0.170963870185708,0.181991015987346,"White","Heterosexual","Female"
"Post-2020",0.494304492862691,0.0277464294538051,0.480718312583499,0.507899089853625,"White","Bisexual","Female"
"Post-2020",0.497324180121374,0.0538305886849086,0.470980301797694,0.523682923403973,"White","Homosexual","Female"
"Post-2020",0.409227090120856,0.0328037163331922,0.393778809854504,0.424856683462397,"White","Othersexual","Female"
"Post-2020",0.101423189237099,0.0596539105134298,0.0912530753131195,0.112586331973702,"Asian","Heterosexual","Male"
"Post-2020",0.350017052246245,0.112262895429257,0.301746388389856,0.401568719674304,"Asian","Bisexual","Male"
"Post-2020",0.295084962499763,0.115023591164671,0.250442054177735,0.34403323421211,"Asian","Homosexual","Male"
"Post-2020",0.261530871406505,0.111169631135808,0.221677827805411,0.305734262374678,"Asian","Othersexual","Male"
"Post-2020",0.159354844151563,0.0588901075163259,0.144493559051694,0.175431189828009,"Asian","Heterosexual","Female"
"Post-2020",0.439431391368051,0.0778713210353831,0.402250912128439,0.477304342048042,"Asian","Bisexual","Female"
"Post-2020",0.398524010193555,0.11261085778033,0.346981930547199,0.452418011607532,"Asian","Homosexual","Female"
"Post-2020",0.344551673271864,0.0864170736352547,0.30736871516256,0.383740631141516,"Asian","Othersexual","Female"
"Post-2020",0.0964385270408266,0.0398113393472503,0.0898500531574172,0.103455201847037,"Black","Heterosexual","Male"
