"x","predicted","std.error","conf.low","conf.high","group","facet","panel"
"Post-2020",0.462839319094951,0.0436339074963794,0.441657419337548,0.484156198325994,"Hispanic","Bisexual","Female"
"Post-2020",0.451254997393019,0.0785549416624498,0.41348763742684,0.489592399281724,"Hispanic","Homosexual","Female"
"Post-2020",0.403694953370652,0.0492787092110731,0.380676616102071,0.427145185799153,"Hispanic","Othersexual","Female"
"Post-2020",0.131716541078859,0.0441544533197152,0.122130568240041,0.141933265327497,"MultiOtherRace","Heterosexual","Male"
"Post-2020",0.42156226508004,0.0963308073376634,0.376326862351672,0.468153543201284,"MultiOtherRace","Bisexual","Male"
"Post-2020",0.370073752338698,0.108266458203685,0.32210850275238,0.420748357367402,"MultiOtherRace","Homosexual","Male"
"Post-2020",0.328307575782409,0.0939467648953499,0.289054215030638,0.370116430692848,"MultiOtherRace","Othersexual","Male"
"Post-2020",0.197390607012949,0.0450079450995637,0.183787045290365,0.211739868237073,"MultiOtherRace","Heterosexual","Female"
"Post-2020",0.514866871383204,0.0581435928870704,0.486384784664438,0.543252715508646,"MultiOtherRace","Bisexual","Female"
"Post-2020",0.465502591367899,0.0953570341831455,0.419431987404653,0.512169379693665,"MultiOtherRace","Homosexual","Female"
"Post-2020",0.429916613412301,0.0656433096956717,0.39870834916205,0.461692008199219,"MultiOtherRace","Othersexual","Female"
