"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state","Level"
"2005",31.8664752957119,0.178287461985579,24.7991742231237,39.879754769339,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","1:Lowest",0
"2005",24.1793852248785,0.177948387819682,18.3675365664075,31.1289563017592,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","1:Lowest",0
"2005",6.02313575187151,0.157927667273215,4.49173754233311,8.0327317241635,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","1:Lowest",0
"2005",25.3156637742943,0.176462160806085,19.3456284156775,32.388217288911,"Black","Bisexual","Male","Black-Male","Bisexual-Male","1:Lowest",0
"2005",20.855138029839,0.176757827962886,15.7079778204181,27.1457465877787,"Black","Homosexual","Male","Black-Male","Homosexual-Male","1:Lowest",0
"2005",15.4604853830394,0.176772768637502,11.4518024207382,20.5467935198892,"Black","Othersexual","Male","Black-Male","Othersexual-Male","1:Lowest",0
"2005",10.7314321897351,0.143832502747118,8.31438046918186,13.7457944745023,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","1:Lowest",0
"2005",35.4032067402177,0.171863374796594,28.1262380955952,43.4253816978181,"Black","Bisexual","Female","Black-Female","Bisexual-Female","1:Lowest",0
"2005",29.6649630563081,0.175481154508745,23.0189737984158,37.3000339504933,"Black","Homosexual","Female","Black-Female","Homosexual-Female","1:Lowest",0
"2005",23.5729579256004,0.175145074852647,17.9533034402658,30.3019907458363,"Black","Othersexual","Female","Black-Female","Othersexual-Female","1:Lowest",0
"2005",8.56608846592662,0.164622329382515,6.35386979138845,11.4543223933002,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","1:Lowest",0
"2005",29.8903892304518,0.177006942497812,23.1573051629431,37.6226573030078,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","1:Lowest",0
"2005",25.0308897621321,0.177739061484707,19.0721683592999,32.1125699251423,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","1:Lowest",0
"2005",18.550746521796,0.176528917067972,13.8779950503749,24.3519484696025,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","1:Lowest",0
"2005",12.0271655828905,0.160757697811887,9.07147011902882,15.7787803972032,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","1:Lowest",0
"2005",41.8040271462684,0.172457781358233,33.8757860457579,50.1796882521207,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","1:Lowest",0
"2005",35.0475153030007,0.177012610173235,27.6100104849299,43.2903919200783,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","1:Lowest",0
"2005",27.5025736081828,0.176610902627508,21.1580880722675,34.9072082628861,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","1:Lowest",0
"2005",9.52027893132633,0.169550747842398,7.0174302717257,12.7929800834651,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","1:Lowest",0
"2005",33.6830286565256,0.176790196841102,26.4257895760633,41.8009658375949,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","1:Lowest",0
"2005",28.3635924781524,0.178387228285311,21.8209770681825,35.9654386431377,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","1:Lowest",0
"2005",21.4510682821087,0.177893185406148,16.1567433833037,27.9029023113522,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","1:Lowest",0
"2005",15.3128917421784,0.164510829223751,11.5811785828018,19.9753929198634,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","1:Lowest",0
"2005",45.1666446553525,0.174723680728843,36.9027307400845,53.7059984778244,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","1:Lowest",0
"2005",39.2430043946304,0.177193580984859,31.3371915515938,47.7561083319816,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","1:Lowest",0
"2005",30.7650594148203,0.177489681457542,23.8849141697905,38.6214486191906,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","1:Lowest",0
"2005",9.07706059360174,0.173648243534566,6.63222318121726,12.3043697585907,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","1:Lowest",0
"2005",31.2087342767471,0.177851552441476,24.2511096165739,39.1313066603764,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","1:Lowest",0
"2005",25.9907626592146,0.179008374366895,19.8245118718148,33.2788761774102,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","1:Lowest",0
"2005",19.6549955067573,0.177827625322766,14.7224947233372,25.7412156933083,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","1:Lowest",0
"2005",14.3684478174281,0.173595880047721,10.6665739340309,19.080662091758,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","1:Lowest",0
"2005",42.2213171731985,0.177083158476796,34.0566377386127,50.8344713659879,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","1:Lowest",0
"2005",36.6096541570387,0.178326925341885,28.9355977467683,45.0293416463674,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","1:Lowest",0
"2005",28.2706122607729,0.178111975884538,21.7521157281411,35.847605428283,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","1:Lowest",0
